slot,avg_ov,ov,rb_ov
1,0.7776587301587301,0.8,0.4853314112103175
2,0.6640476190476191,0.7,0.20432012648809522
3,0.5978571428571429,0.7,0.7473911830357144
4,0.6989285714285715,0.6,0.8005347842261905
5,0.8675396825396826,0.8,0.9863312251984127
6,0.6158730158730159,0.7,0.2622752356150793
7,0.7404365079365081,0.9,0.42835441468253965
8,0.6037698412698413,0.9,0.22679191468253967
9,0.781547619047619,0.9,0.46659226190476183
10,0.7068253968253968,0.8,0.3468222966269841
11,0.5403571428571429,0.7,0.7103794642857143
12,0.7030555555555555,0.8,0.20020616319444443
13,0.7271428571428571,0.6,0.9186569940476191
14,0.5875396825396825,0.7,0.27946273561507934
15,0.6288095238095239,0.7,0.456840587797619
16,0.41880952380952385,0.8,0.06103980654761904
17,0.5630158730158731,0.5,0.8878332713293652
18,0.7158730158730159,0.7,0.46800440228174606
19,0.5165873015873015,0.8,0.15084015376984128
20,0.3657539682539682,0.7,0.04244171626984127
21,0.8457142857142858,0.8,0.9716052827380953
22,0.6629761904761905,0.7,0.8937872023809524
23,0.8059920634920635,0.8,0.48116474454365077
24,0.7942063492063491,0.7,0.8258169022817461
25,0.5420238095238095,0.8,0.39016462053571427
26,0.623531746031746,0.6,0.42420169890873016
27,0.7135317460317461,0.5,0.9241040426587301
28,0.5507142857142857,0.6,0.12505580357142856
29,0.6658730158730158,0.7,0.34300440228174606
30,0.612936507936508,1.0,0.12588045634920633
31,0.44559523809523804,0.6,0.09636811755952379
32,0.3963095238095238,0.7,0.06045386904761905
33,0.6332539682539682,0.6,0.465163070436508
34,0.4296428571428571,0.7,0.1021205357142857
35,0.5378571428571428,0.8,0.7099888392857142
36,0.6625396825396825,0.7,0.33935856894841265
37,0.6833730158730159,0.7,0.7773468501984128
38,0.5107539682539682,0.7,0.1528583829365079
39,0.7604365079365079,0.8,0.7970067584325398
40,0.7432539682539683,0.7,0.815846664186508
41,0.6705952380952381,0.7,0.3251116071428571
42,0.5965873015873016,0.8,0.39459015376984125
43,0.7923809523809523,0.6,0.9297433035714288
44,0.7064285714285714,0.8,0.3611142113095238
45,0.7925396825396824,0.8,0.8457062251984127
46,0.6675396825396824,0.8,0.3170603918650794
47,0.6750396825396825,0.7,0.7789744543650794
48,0.6221031746031745,0.8,0.16523592509920637
49,0.7450396825396826,0.9,0.7957713293650793
50,0.6217063492063492,0.8,0.17952783978174602
51,0.7425396825396825,0.8,0.4707062251984127
52,0.6989285714285715,0.8,0.7944800967261905
53,0.753095238095238,0.6,0.8192522321428573
54,0.7509920634920635,0.7,0.7899212549603176
55,0.7857142857142858,0.7,0.927236793154762
56,0.7839285714285715,0.7,0.9412574404761905
57,0.8818253968253968,0.8,0.9874472966269842
58,0.5218650793650793,0.7,0.2748201884920634
59,0.7684920634920634,0.7,0.9081829737103176
60,0.3773015873015873,0.5,0.1389493427579365
61,0.5308730158730158,0.8,0.11549789186507935
62,0.5794841269841269,0.5,0.7304284474206347
63,0.3556349206349206,0.4,0.2029141865079365
64,0.7922619047619048,0.7,0.9672991071428572
65,0.4908730158730159,0.7,0.07737940228174603
