varid,slot_no,erinaki_score
617,1,554.08
617,2,508.78
617,3,208.91
617,4,218.72
617,5,327.85
617,6,2114.63
617,7,292.99
617,8,875.58
617,9,1147.58
617,10,1383.76
617,11,800.23
617,12,2077.99
617,13,998.92
617,14,591.37
617,15,1134.31
617,16,332.85
617,17,62.52
617,18,35.74
617,19,549.98
617,20,736.09
617,21,62.99
617,22,18.41
617,23,293.61
617,24,626.64
617,25,489.38
617,26,671.21
617,27,651.69
617,28,788.65
617,29,171.45
617,30,384.62
617,31,876.18
617,32,1783.65
617,33,1035.51
617,34,1941.74
617,35,443.25
617,36,426.83
617,37,338.23
617,38,602.36
617,39,690.86
617,40,1002.77
617,41,380.75
617,42,438.97
617,43,288.56
617,44,175.40
617,45,211.01
617,46,703.69
617,47,556.66
617,48,1211.83
617,49,168.78
617,50,6.91
617,51,0.00
617,52,0.38
617,53,1.37
617,54,0.54
617,55,0.06
617,56,0.17
617,57,0.59
617,58,0.00
617,59,0.00
617,60,0.00
617,61,39.05
617,62,0.84
617,63,0.00
617,64,10.42
617,65,0.00
629,1,736.04
629,2,1922.03
629,3,385.94
629,4,282.29
629,5,232.47
629,6,588.54
629,7,1163.00
629,8,1801.57
629,9,893.91
629,10,2575.79
629,11,1003.48
629,12,1312.34
629,13,123.71
629,14,681.61
629,15,376.77
629,16,840.83
629,17,853.47
629,18,366.10
629,19,252.91
629,20,1991.22
629,21,1299.22
629,22,489.86
629,23,1291.09
629,24,303.91
629,25,707.46
629,26,361.63
629,27,458.02
629,28,92.48
629,29,362.98
629,30,405.56
629,31,977.81
629,32,632.93
629,33,73.31
629,34,118.95
629,35,588.34
629,36,549.28
629,37,1779.04
629,38,374.04
629,39,515.31
629,40,602.32
629,41,198.98
629,42,971.04
629,43,574.20
629,44,702.00
629,45,22.83
629,46,34.18
629,47,16.94
629,48,23.49
629,49,103.83
629,50,7.42
629,51,0.00
629,52,0.00
629,53,0.00
629,54,0.00
629,55,0.00
629,56,0.00
629,57,0.00
629,58,2.79
629,59,0.00
629,60,4.09
629,61,12.82
629,62,0.52
629,63,0.00
629,64,0.00
629,65,0.00
659,1,11.45
659,2,262.59
659,3,13.02
659,4,158.97
659,5,286.85
659,6,1228.02
659,7,2102.00
659,8,1130.37
659,9,1431.41
659,10,1108.08
659,11,718.71
659,12,707.75
659,13,1183.70
659,14,1665.59
659,15,2623.38
659,16,3693.42
659,17,2217.02
659,18,3066.31
659,19,3470.96
659,20,3382.42
659,21,1481.97
659,22,1068.98
659,23,559.76
659,24,734.73
659,25,379.84
659,26,564.55
659,27,988.28
659,28,84.77
659,29,311.00
659,30,58.03
659,31,1023.10
659,32,511.80
659,33,330.03
659,34,954.45
659,35,468.01
659,36,64.10
659,37,364.68
659,38,112.75
659,39,190.65
659,40,6.98
659,41,2.94
659,42,4.23
659,43,3.39
659,44,0.00
659,45,1.36
659,46,96.17
659,47,0.00
659,48,0.00
659,49,3.06
659,50,0.00
659,51,0.00
659,52,0.00
659,53,0.00
659,54,0.00
659,55,0.00
659,56,0.00
659,57,0.00
659,58,0.00
659,59,0.00
659,60,0.00
659,61,0.00
659,62,0.00
659,63,0.00
659,64,0.00
659,65,0.00
720,1,0.00
720,2,0.00
720,3,0.00
720,4,0.00
720,5,0.00
720,6,39.81
720,7,291.42
720,8,319.20
720,9,179.49
720,10,677.71
720,11,775.26
720,12,1525.84
720,13,567.51
720,14,2556.80
720,15,1192.34
720,16,2313.08
720,17,841.28
720,18,1394.87
720,19,993.12
720,20,1194.39
720,21,1138.79
720,22,355.60
720,23,1087.91
720,24,852.38
720,25,479.48
720,26,754.55
720,27,986.35
720,28,353.55
720,29,607.35
720,30,757.96
720,31,702.69
720,32,646.11
720,33,542.58
720,34,641.75
720,35,1518.87
720,36,214.23
720,37,1100.02
720,38,599.58
720,39,102.87
720,40,165.54
720,41,714.42
720,42,435.46
720,43,153.10
720,44,248.70
720,45,76.84
720,46,51.04
720,47,58.76
720,48,82.52
720,49,100.77
720,50,22.59
720,51,1.00
720,52,1.08
720,53,0.62
720,54,0.97
720,55,0.81
720,56,0.71
720,57,1.06
720,58,73.62
720,59,272.29
720,60,62.02
720,61,902.11
720,62,214.21
720,63,243.76
720,64,0.00
720,65,0.00
856,1,0.00
856,2,0.00
856,3,0.00
856,4,0.00
856,5,0.00
856,6,0.00
856,7,0.00
856,8,0.00
856,9,0.00
856,10,0.00
856,11,0.00
856,12,0.00
856,13,0.00
856,14,0.00
856,15,0.00
856,16,0.00
856,17,0.00
856,18,0.00
856,19,6.38
856,20,20.74
856,21,25.14
856,22,929.54
856,23,174.55
856,24,417.99
856,25,318.43
856,26,523.50
856,27,297.15
856,28,240.39
856,29,948.50
856,30,914.64
856,31,986.93
856,32,1527.70
856,33,736.65
856,34,697.62
856,35,324.90
856,36,349.49
856,37,1433.42
856,38,806.19
856,39,3700.05
856,40,604.66
856,41,1137.34
856,42,1243.62
856,43,782.22
856,44,575.02
856,45,676.33
856,46,916.59
856,47,1680.00
856,48,1001.75
856,49,670.34
856,50,378.68
856,51,0.73
856,52,0.55
856,53,0.37
856,54,0.48
856,55,1.80
856,56,0.68
856,57,1.69
856,58,8.28
856,59,143.06
856,60,130.62
856,61,165.64
856,62,329.42
856,63,172.22
856,64,130.02
856,65,27.03
